;city;PC6;Homes_Passed;ACTIVE_CUSTOMERS_Resi;ACTIVE_CUSTOMERS_Soho;;;;;
;DELFT;2612VL;10;4;0;;;;;
;DELFT;2612VP;14;7;2;;;;;
;DELFT;2612VT;21;11;2;;;;;
;DELFT;2612VV;18;0;0;;;;;
;DELFT;2612VX;58;34;1;;;;;
;DELFT;2612XD;1;0;1;;;;;
;DELFT;2612XK;19;9;1;;;;;
;DELFT;2612XL;22;11;0;;;;;
;DELFT;2612XM;14;6;2;;;;;
;DELFT;2612XS;22;10;0;;;;;
;DELFT;2612XW;22;19;1;;;;;
;DELFT;2613AE;15;5;2;;;;;
;DELFT;2613AG;21;5;1;;;;;
;DELFT;2613AK;7;4;1;;;;;
;DELFT;2613AL;21;13;2;;;;;
;DELFT;2613AP;7;5;0;;;;;
;DELFT;2613AS;17;10;1;;;;;
;DELFT;2613AX;1;0;0;;;;;
;DELFT;2613BA;14;8;2;;;;;
;DELFT;2613BE;25;10;6;;;;;
;DELFT;2613BJ;20;16;0;;;;;
;DELFT;2613BK;20;6;1;;;;;
;DELFT;2613BM;8;3;0;;;;;
;DELFT;2613BN;21;8;1;;;;;
;DELFT;2613BR;11;7;0;;;;;
;DELFT;2613BS;16;8;0;;;;;
;DELFT;2613BT;25;14;2;;;;;
;DELFT;2613BV;11;6;0;;;;;
;DELFT;2613BX;12;5;2;;;;;
;DELFT;2613CA;22;11;3;;;;;
;DELFT;2613CC;24;8;2;;;;;
;DELFT;2613CD;18;14;1;;;;;
;DELFT;2613CH;18;9;1;;;;;
;DELFT;2613CM;12;5;1;;;;;
;DELFT;2613CW;17;9;0;;;;;
;DELFT;2613CZ;12;7;0;;;;;
;DELFT;2613DB;24;16;3;;;;;
;DELFT;2613DE;23;9;3;;;;;
;DELFT;2613DG;23;14;0;;;;;
;DELFT;2613DJ;24;9;0;;;;;
;DELFT;2613DK;25;12;2;;;;;
;DELFT;2613DL;5;3;1;;;;;
;DELFT;2613DN;14;7;2;;;;;
;DELFT;2613DP;24;13;0;;;;;
;DELFT;2613DS;24;12;4;;;;;
;DELFT;2613DT;15;8;0;;;;;
;DELFT;2613DV;15;4;0;;;;;
;DELFT;2613DX;4;1;1;;;;;
;DELFT;2613EB;16;8;1;;;;;
;DELFT;2613EE;23;11;2;;;;;
;DELFT;2613EG;5;4;0;;;;;
;DELFT;2613EJ;14;7;0;;;;;
;DELFT;2613EK;26;13;1;;;;;
;DELFT;2613EL;8;3;0;;;;;
;DELFT;2613EN;16;9;0;;;;;
;DELFT;2613EP;19;8;0;;;;;
;DELFT;2613ES;17;6;0;;;;;
;DELFT;2613ET;2;1;0;;;;;
;DELFT;2613EV;24;17;0;;;;;
;DELFT;2613EX;19;12;0;;;;;
;DELFT;2613GA;21;7;2;;;;;
;DELFT;2613GC;24;6;0;;;;;
;DELFT;2613GD;11;4;1;;;;;
;DELFT;2613GH;23;14;0;;;;;
;DELFT;2613GJ;18;8;0;;;;;
;DELFT;2613GM;9;3;2;;;;;
;DELFT;2613GR;18;11;0;;;;;
;DELFT;2613GT;25;8;2;;;;;
;DELFT;2613GW;20;10;1;;;;;
;DELFT;2613GZ;17;8;0;;;;;
;DELFT;2613HA;22;11;1;;;;;
;DELFT;2613HC;23;14;2;;;;;
;DELFT;2613HD;12;6;0;;;;;
;DELFT;2613HH;18;8;1;;;;;
;DELFT;2613HJ;16;6;2;;;;;
;DELFT;2613HM;16;9;0;;;;;
;DELFT;2613HR;18;8;0;;;;;
;DELFT;2613HW;76;2;0;;;;;
;DELFT;2613HZ;74;1;0;;;;;
;DELFT;2613JB;68;2;0;;;;;
;DELFT;2613JE;16;5;0;;;;;
;DELFT;2613JG;25;12;2;;;;;
;DELFT;2613JK;40;10;1;;;;;
;DELFT;2613JS;11;5;0;;;;;
;DELFT;2613JV;38;11;0;;;;;
;DELFT;2613JW;25;5;1;;;;;
;DELFT;2613JX;9;1;0;;;;;
;DELFT;2613KA;47;20;1;;;;;
;DELFT;2613LB;70;53;0;;;;;
;DELFT;2613LE;8;4;0;;;;;
;DELFT;2613MA;56;39;1;;;;;
;DELFT;2613MC;21;11;0;;;;;
;DELFT;2613MD;24;10;0;;;;;
;DELFT;2613MH;18;10;0;;;;;
;DELFT;2613MJ;18;11;0;;;;;
;DELFT;2613MR;14;9;0;;;;;
;DELFT;2613MW;19;7;1;;;;;
;DELFT;2613MZ;16;7;0;;;;;
;DELFT;2613NA;16;9;0;;;;;
;DELFT;2613NH;16;6;0;;;;;
;DELFT;2613NJ;30;12;0;;;;;
;DELFT;2613NK;37;17;0;;;;;
;DELFT;2613NM;16;6;0;;;;;
;DELFT;2613NN;24;13;1;;;;;
;DELFT;2613NR;22;10;1;;;;;
;DELFT;2613NT;15;8;0;;;;;
;DELFT;2613NV;22;9;0;;;;;
;DELFT;2613NZ;22;10;1;;;;;
;DELFT;2613PB;5;1;0;;;;;
;DELFT;2613PE;19;4;3;;;;;
;DELFT;2613PG;9;8;0;;;;;
;DELFT;2613PK;22;12;0;;;;;
;DELFT;2613PL;18;8;0;;;;;
;DELFT;2613PN;22;8;1;;;;;
;DELFT;2613PP;6;3;0;;;;;
;DELFT;2613PS;16;8;0;;;;;
;DELFT;2613PT;14;5;0;;;;;
;DELFT;2613PV;28;14;0;;;;;
;DELFT;2613PX;16;10;2;;;;;
;DELFT;2613RB;19;6;0;;;;;
;DELFT;2613RE;17;9;1;;;;;
;DELFT;2613RG;19;10;0;;;;;
;DELFT;2613RJ;13;8;0;;;;;
;DELFT;2613RK;20;6;0;;;;;
;DELFT;2613RL;14;8;1;;;;;
;DELFT;2613RN;19;11;1;;;;;
;DELFT;2613RP;15;6;1;;;;;
;DELFT;2613RR;21;7;2;;;;;
;DELFT;2613RS;13;3;3;;;;;
;DELFT;2613RT;23;12;0;;;;;
;DELFT;2613RV;18;6;0;;;;;
;DELFT;2613RX;24;8;1;;;;;
;DELFT;2613SC;21;8;0;;;;;
;DELFT;2613SH;35;14;0;;;;;
;DELFT;2613SJ;21;8;0;;;;;
;DELFT;2613SM;25;13;0;;;;;
;DELFT;2613SR;18;7;0;;;;;
;DELFT;2613SW;19;6;0;;;;;
;DELFT;2613SZ;14;4;1;;;;;
;DELFT;2613TA;22;7;1;;;;;
;DELFT;2613TE;17;11;1;;;;;
;DELFT;2613TJ;20;11;0;;;;;
;DELFT;2613TK;14;4;1;;;;;
;DELFT;2613TM;15;10;0;;;;;
;DELFT;2613TN;14;9;1;;;;;
;DELFT;2613TR;14;10;0;;;;;
;DELFT;2613TS;14;8;0;;;;;
;DELFT;2613TT;11;2;2;;;;;
;DELFT;2613TV;15;6;2;;;;;
;DELFT;2613TX;17;1;1;;;;;
;DELFT;2613VB;24;10;3;;;;;
;DELFT;2613VE;24;6;0;;;;;
;DELFT;2613VG;19;9;3;;;;;
;DELFT;2613VK;23;8;1;;;;;
;DELFT;2613VL;22;10;1;;;;;
;DELFT;2613VN;14;3;2;;;;;
;DELFT;2613VP;22;11;2;;;;;
;DELFT;2613VS;24;12;1;;;;;
;DELFT;2613VV;16;4;0;;;;;
;DELFT;2613VW;26;16;0;;;;;
;DELFT;2613VX;9;5;0;;;;;
;DELFT;2613WE;12;5;0;;;;;
;DELFT;2613WJ;22;14;1;;;;;
;DELFT;2613WK;13;4;1;;;;;
;DELFT;2613WN;17;11;0;;;;;
;DELFT;2613WR;10;7;0;;;;;
;DELFT;2613WS;10;8;0;;;;;
;DELFT;2613WT;10;8;0;;;;;
;DELFT;2613WV;9;3;0;;;;;
;DELFT;2613WX;25;12;0;;;;;
;DELFT;2613XA;6;2;0;;;;;
;DELFT;2613XE;23;6;2;;;;;
;DELFT;2613XH;10;5;1;;;;;
;DELFT;2613XJ;19;12;0;;;;;
;DELFT;2613XK;20;9;0;;;;;
;DELFT;2613XM;18;13;0;;;;;
;DELFT;2613XN;16;10;0;;;;;
;DELFT;2613XR;7;2;1;;;;;
;DELFT;2613XT;21;16;2;;;;;
;DELFT;2613XV;14;6;0;;;;;
;DELFT;2613XX;24;13;1;;;;;
;DELFT;2613XZ;18;13;0;;;;;
;DELFT;2613ZA;12;8;0;;;;;
;DELFT;2613ZH;22;14;0;;;;;
;DELFT;2613ZJ;12;7;0;;;;;
;DELFT;2613ZM;17;12;0;;;;;
;DELFT;2613ZN;16;10;0;;;;;
;DELFT;2613ZR;16;14;0;;;;;
;DELFT;2613ZT;13;8;1;;;;;
;DELFT;2613ZV;2;0;0;;;;;
;DELFT;2613ZZ;17;11;0;;;;;
;DELFT;2614AA;24;12;2;;;;;
;DELFT;2614AD;24;9;1;;;;;
;DELFT;2614AG;16;6;0;;;;;
;DELFT;2614AK;21;5;1;;;;;
;DELFT;2614AL;14;10;0;;;;;
;DELFT;2614AM;17;10;2;;;;;
;DELFT;2614AR;24;12;1;;;;;
;DELFT;2614AT;10;7;0;;;;;
;DELFT;2614AV;18;13;2;;;;;
;DELFT;2614AW;24;16;0;;;;;
;DELFT;2614BB;25;11;1;;;;;
;DELFT;2614BC;24;12;0;;;;;
;DELFT;2614BE;1;0;0;;;;;
;DELFT;2614BH;24;11;0;;;;;
;DELFT;2614BJ;31;9;1;;;;;
;DELFT;2614BL;21;8;0;;;;;
;DELFT;2614BM;22;9;0;;;;;
;DELFT;2614BP;23;7;0;;;;;
;DELFT;2614BS;26;15;1;;;;;
;DELFT;2614BX;19;10;0;;;;;
;DELFT;2614CA;10;0;0;;;;;
;DELFT;2614CB;9;0;5;;;;;
;DELFT;2614CD;28;9;1;;;;;
;DELFT;2614CN;1;0;0;;;;;
;DELFT;2614CP;26;8;0;;;;;
;DELFT;2614CS;18;7;0;;;;;
;DELFT;2614CT;18;8;0;;;;;
;DELFT;2614CV;24;6;1;;;;;
;DELFT;2614CW;19;5;0;;;;;
;DELFT;2614CZ;20;8;0;;;;;
;DELFT;2614EC;23;6;0;;;;;
;DELFT;2614ED;20;12;0;;;;;
;DELFT;2614EE;21;9;0;;;;;
;DELFT;2614EG;20;12;0;;;;;
;DELFT;2614EH;20;7;0;;;;;
